SentPair1,SentPai2,SentPair3,SentPair4,Best,Worst
"['ولكن هل استفاد النظام شيئا؟ علىالعكس', 'كانوا يتعاملون مع الشباب والبناتبقسوة']","['كنا أفضل ما يمكنهم القيام به.', 'بحيث يمكننا فهمماهيّة أسلوبنا']","['أتدرب على إجراءات الطوارئ داخل عقلي الآن.', 'إذحدث شيء بطريقةٍ خاطئة أود أن أكون جاهزا']","['إذاً فما يزال لدينا مدرسين أكثر لنستخدمهم', 'هذهلقطة لبعض المدرسين خلال أحد المناسبات']",3,4
"['بينما حللنا كل مشاكل النقل الأخرى.', 'أعني، انظروا كم الوقت استلزم الانتقال عبرقارة باستخدام عربة أمريكية من القرنالتاسع عشر، ثم على سكة الحديد، ثم علىالطائرة']","['عندما تندرج هونغ كونغ تحت سلطة الصين لن يصبحالامر محورياً لهذه الدرجة', 'بعد 13 عاماً النظامالسياسي والعدلي في هونغ كونغ مختلف كثيراً عما كانعليه في عام 1997']","['قمنا بفتح مركز تعليم للنساء.', 'فتحنا العيادات بشكلمستمرٍّ']","['ما يحدث للمناخ؟', 'شئ مؤسف لا يصدق']",3,2
"['عندما توجّه الكاميرا نحو أي فصل دائماًيبدو هكذا', 'إذاً هذا أحد الكتب التييقومون بها']","['وهكذا هو في بادينغتون في لندن.', 'وانه جسر مملجدا، كما ترون']","['وهنا ترون براءة اختراع لذراع في عام 1912.', 'وهيلا تختلف كثيراً عن التي ترونها لدى المرضى لدي']","['مع ذلك, لا يمكنك أن تحرقها, فهي رقيقة جداً', 'فتحترق بسرعة حيث لا يمكنك استخدامها للطهي']",4,1
"['لذلك كاتبت طفل الثانوية هذا فورا، وقلت: ""نعم، أنت على صواب.', 'اعتقد أننيسأحاول القيام بذلك في نهاية الأسبوع  شكرا لك']","['القانون الثاني: لا يضرب أي رجل زوجته.', 'إذا قامبضربها، سنقوم بسجنه، وننادي المشايخ الأكبر سناً']","['أدركت أنه لا يجب أن يحدث ذلك على الإطلاق.', 'أعرفالصوت في الحقيقة.']","['التعاون يمكن أن يحدث على نطاق هائل.', 'جيل جديدالآن ينفتح على العالم كذلك']",2,3
"['لذا فسوف أبدأ بتطبيق تلك الفكرة علىأمراض الإسهال.', 'الكائنات المسببةللإسهال تنتقل بثلاث طرق أساسية']","['حسناً، لا هذا ولا ذاك.', 'إنه ليس سحراً وليس معقداً']","['وسنمنحكم خمس دقائق أُخرى للتأكد من فعاليةالعناصر.', 'والآن سيكون لديكم ٣٠ دقيقة لحل ١٥لغزاً']","['لا شيء يمكنه القيام بذلك. وتحدثت لاحقا. أريتهم هذاالفيديو بهذا التصميم البسيط ل RHex هنا، وفقطلإقناعهم بأنه علينا الذهاب إلى المريخ في 2011، لونتالفيديو بالبرتقالي فقط لإعطائهم معنى الوجود فيالمريخ.', 'سبب آخر لماذا الحيوانات لديها أداء خارقويمكنها الذهاب إلى أي مكان، هو أنها لديها تفاعلناجح مع المحيط  الحيوان الذي سأريكم إياه الذيدرسناه للنظر في الأمر هو الوزغة']",3,4
"['فإنك تجد تشققات في النخاع الشوكي.', 'منذ تلك اللحظه أردت البحث، ليس في العلّةنفسها، لكن في الوقاية منها']","['ومن ثم وجدت بعض الأشخاص يقولون، ""اتركيه.""', 'وأخذت أفكر، حسنا، من هم كل الأشخاص']","['وربما قد سمعتم عن الستاتين من قبل تعرفون أنها منأكثرالأدوية التى يتم استخدامها فى العالم اليوم.', 'وتبدأبالتفكير، ""نعم! أعطني ستاتين.""']","['فقلت: ""لا أنا حقا أريد إنشاء كلية للفقراء فقط', 'ومايعتقد الفقراء بأنه مهم سينعكس في هذه الكلية']",4,1
"['بدأنا من البداية، من الصفات المشتركة.', 'الصفات المشتركة مريحة لأنّها مشتركة، كلشخص يملكها']","['قام الجميع اجتياح النوافذ وأسطح المباني.', 'قامالناس بتسلق العربات والمركبات في الشوارع']","['لقد قرأت تيلر وأبديكي وستينبيك وجايتسكيل.', 'لم تكنلدي نظرة آحادية عن أمريكا']","[' وجاءت المراكز العشره الاولي النحو التالي بحسبالترتيب', 'الصين والهند والامارات العربيه المتحدهواندونيسيا وماليزيا والسعوديه والمكسيك وتايلاندوتركياوجاءت الصين والهند واندونيسيا المراكز الاوليالخدمات اللوجستيه المحليه حصدت الصين والهندوالمكسيك اولي المراكز']",4,3
"['أعتقد أنّ هناك درسا هاما لنا جميعا', 'العمالقة ليسوا بالقوة والعنفوان كما يبدون']","['شكراً جزيلاً لكم.', 'مرحباً بالجميع']","['أتلفنا قرابة 50 من هذه المغنطيسات', 'الآن هذا أكثرعجبا إذا علمتم أن المغنطيسات تزن أكثر من 20 طنوقد تحركوا قرابة القدم.']","[' قررت استرداد ملكية الصوت وإدراجه في أعماليالفنية.', 'بدأت بإنشاء هيكل جديد للعمل.']",2,3
"['والآن تقسيم المجموعات ، وإجراء التجاربعلى كل مجموعة', 'لذا ما سأقوم به هوتوزيعكم عشوائياً في واحدةٍ من المجموعتين']","['وأنتم محقون تمامًا.', 'انه تقرير مُمِل جدًا']","['وانا اتشوق لأعرف الى اين سيأخذنا في النهاية', 'لهذاالسبب وجدت بان هذا المشروع مشوق جداً']","['أدركت أن: الصوت يشبه المال والقوة والسلطة -- كأنهعُملة اجتماعية.', 'في مخيلتي، كنت دائما أشعر أنالصوت شيء خاص بكم، شيء خاص بالقادرين علىالسماع.']",4,2
"['وقد ظهر في مستشفى الأطفال ببطنمنتفخ كضحية مجاعة.', 'وليس المشكل أنه لايأكل، إنما أنه حين يأكل، تنفتح أمعاؤهأساسا وينسكب البراز في أحشائه']","['كلنا نريد إثباتات على أن حياتنا لها مغزى.', 'ولا شيءأكثر يقوم بالإثبات من حين نرتبط عبر القصص']","['إنه أسلوب عمل ليس له مثيل', 'ها هو عضوي وهوأيضاً جوهريّ']","['هذا تقدير واسع لقدراتهم اللغوية.', 'إنّه بمثابة اختبارالذكاء الخاصّ باللغة']",4,3
"['كريس : أوه .', 'أخر سؤال   جوليان']","['سجل سهم الخليج الاستثمارية الارتفاع الاكبر', 'سجلسوق دبي المالي تراجعا اخر ']","['هل سيقوم بإبعادي عن الفن؟', 'وفي صيف هذا العام،زرت متحف وصالات عرض مختلفة.']","['ونصف العالم يعيش في مدن مزدحمة.', 'ويصرفالناس، حسب مكان إقامتهم، ما بين 90 إلى 95 منطاقتهم للتنقل مشياً']",2,3
"['لماذا نحن هنا؟', 'لماذا يوجد هذا الكون؟']","['فهي لا تحتوي على مركبات الكربون', 'وهي لا تحتاجالكثير من الموارد لكي تُحقق']","['لا يملك الكثير من الفقراء الكمية الكافية من الحبوبليمكن طحنها.', 'لذا أحضر صديقنا هذا ماكينة طحنالحبوب على عجلتين']","['حينما تنظروا في الدليل، سترون هذا', 'وهو الشيءالذي أصابني فعلا بالجزع']",1,2
"['كشفت موشرات مكتب الصرف نموصادرات قطاع الالكترونيات بنسبة المئة', 'سجلت واردات المواد الجاهزة للاستهلاكبدورها نموا بنسبة المئة']","['كما تقولون في ألعاب المخاطر.', 'الكثير من التحمل،مع انعدام الرقة']","['و امريكا ليست على استعداد.', 'نحن نسير نائموننحو المستقبل']","['المترجم الشفوي: كلمة بيانو، ""p"" هو الرمز الموسيقيالمفضل لدي.', 'وأعتقد أن النقطة الهامة هنا هوالاعتراف بأن كل واحد منا لديه عيب']",1,4
"['انه شعر جميل , ولكنه لايمكن ان يكونصحيحا تماما', 'هل حقا لايوجد شيء جيد وآخر سيء']","['وأنا الطفلة الوسطى من بين 11 طفلًا', 'انتقل والديّمن ليبيا في شمال افريقيا لكندا في أوائل سنة 1980']","['توسّعت بشكل كبير معرفتنا بكيفية تناسب الأرض فيسياق كوننا.', 'اكتشفت بعثة كبلرالتابع لوكالة ناساالآلاف من الكواكب المحتملة حول النجوم الأخرى.']","['كيف يكون هذا ممكنا؟ .', 'أحاول تقديمكم لقريبي']",3,4
"['ولكن ماذا بعد؟', 'ما الجديد الذي تقدمه؟']","['وأعتقد أن هذا ما سيحدث.', 'في الواقع، إنه يحدثبالفعل']","['عدت إلى مكتبي و أرسلت ثلاثة مقالات.', 'وبعد 20 دقيقة عاد منفعلا إلى مكتبي']","['وسوف نقوم بهذا .. هكذا ..', 'لدينا شريط فيديو يشرحتتابع هذه العملية']",1,3
"['كان علي اتخاذ هذا القرار', 'لا أستطيعإثبات ذلك']","['كانت احدى العمليات التي لدي ان انسق بين عدةمواقع سوية', 'كانت فرصة نادرة ولم يكن لدي الوقت لكياجتمع مع كل القادة']","['شكرًا لكم.', 'كبلر هو تلسكوب فضائي يقيس الظلامالباهت للنجوم، عندما تمر الكواكب أمامهم، يحجب قليلًامن الضوء من الوصول إلينا.']","['سنتعرض للفشل بين الحين والآخر.', 'تكمن الفكرة فيالتفكير مسبقاً فى ماهية هذه الإخفاقات لتضع ترتيباتقد تساعدك فى تقليل الأضرار أو تمنع وقوع أشياء سيئةفي المقام الأول']",2,3
"['وبالتالي فإن فكرة ما قبل الحدث هوالتفكير مسبقاً في الأسئلة التي يمكنكطرحها والتي ستدفع بالمحادثة إلى مستوىأعلى', 'لست مضطراً للتفكير فى كل هذهالأسئلة فى الحال']","['سنقضي على الخوف.', 'الخوف هو عدو التسلية']","['إذا كنت تعزف على آلة موسقية ولاحظت وجود ""p"" فيالنوتة، عليك أن تعزف بنعومة.', 'وإذا لاحظت اثنينفيجب أن تعزف بنعومة أكثر،واذا لاحظتأربعة فعليك أنتعزف بنعومة الى أبعد حد.']","['لمن الرائع, ان تستطيع إحراز تقدم كبير من خلالدراسة التركيب الكيميائي للنجوم', 'في الحقيقة اخبرونيان احد النجوم التي نشاهدها في الطيف نجم غريب  قادم من مجرة أخرى']",3,4
"['لأخبركم عن زوج من الكواكب الخارجيةالأخرى', 'إنه كوكب ساخن']","['وهو حل مثالي و ملائم للغاية لهذه المشكلة.', 'إذن أريدأن أُنهي حديثي بملحوظة']","['في الواقع، من المحتمل أن المريخ كان مكان صالحًاللسكن في الماضي، ولهذا السبب نحن ندرسُ المريخكثيرًا.', 'المريخ صغير وصخري، وعلى الرغم من أنه بعيدقليلًا عن الشمس، إلا إنه قد يعتبر مكان يُحتمل السكنفيه إذا وُجد من قبل بعثة مثل كبلر.']","['يجب أن يتم الإعلان عن ذلك.', 'ولاحظتم الموظفين-- لاتتضمن الخطوط أي ملاحظات.']",3,4
"['الناس لا يعرفون أنهم عاشوا الأسوء.', 'مايجعل معظمنا على ما نحن عليه ليس عقولناأو أجسادنا وليس ما يحدث لنا و لكن كيفيةردّنا على ما يحدث لنا']","['اذن انت جالس الى حاسوبك تبحث في قوقل', 'كلبحث تجريه في قوقل يحفظ و يرسل الى المجرمين']","['حسناً، لدينا هنا شخص ذكي ومتحذلق', 'حسناً،سوف نبقيها على حالها']","['لم نتمكن من أن نودع بعضنا', 'لم يخطر ببالنا أبداأنها النهاية']",4,3
"['قم بإلتقاط صورة بهاتفك الجوال لبطاقاتالائتمان ورخصة القيادة وجواز سفركوأرسلها لبريدك الإلكتروني في الحوسبةالسحابية', 'فإذا فقدت هذه الأشياء أوسرقت منك، يمكنك استبدالها بسهولةٍ']","['لكن السعر أنخفض الى 140 دولار من 500.', 'وفيالقريب ، كان متوسط السعر 192 دولاراً']*","['ربما هذه ليست الافضل ؟', 'ربما تركت الافضل ']","['الآن ، يوجد سببان أساسيان يدعوان للقلق بالنسبةللنفط', 'كلاً من القدرة التنافسيه و الأمن القومي فيخطر']",1,4
"['لقد جربتها هذا الصباح فقط للتاكد منوجود الخدمة', 'من هم الممثلين الذين مثلوادور جيمس بوند؟']","['كنت في نيويورك عند حدوث إعصار ساندي.', 'و كنتأسكن بالجانب المظلم']","['أصبح الصوت جزءاً من مجالي الفني.', 'هل سيقومبإبعادي عن الفن؟']","['ولذا قمت بشراء أحد المبانى.', 'كان سعر البناية فيمتناول الجميع']",4,1
"['لأننا في حاجة إلى القيام بتغيير ذيمعنى.', 'حاليا، نحن نختار سيناريو الأربعدرجات']","['الفن, في الحس الأفلاطوني, هو الحقيقة, هو الجمال, و الحب.', 'هذه هي حتماً  النقطة التي يبتعد فيهاالفنانون عن المهندسون']","['دبي تسترد مكانتها كاحد ابرز المراكز العالمية لتجارة', 'وكذلك الامارات تستعيد امجادها وتراثها']","['أنا لست طبيب', 'أنا مؤرخ للطب']",4,1
"['لا .. ولكن كان لها تأثير كبير في ذلك', 'انالصور تدفعنا لتدقيق معتقداتنا الاساسية ومسؤليتنا تجاه الآخرين']","['أريد متطوعاً آخر .', 'ما اسمك سيدي ؟']","['الآن سوف نغير وننظر إلى مستوى نصيب الفرد منالدخل.', 'المحور العمودي يمثل الآن آلاف الدولاراتبسعر اليوم']","['يعني قانون وقف القرصنة على الإنترنت.', 'وقد جاء منطرف مجلس الشيوخ']",2,1
"['إن النساء عدن إلى سوق العمل', 'و أقولعدن لأن هذا ليس بالأمر الجديد']","['وانتظر دائماً بشغف كبير يسوده القلق ما الذيسيحدث.', 'بالتالي، يظهر هذا الرسم.']","['وفي ذلك الوقت، كان الصوت يميل وهذا إذهلنيكثيراً..', 'كان كل شيء مسموعاً.']","['فمن الغطرسة الاعتقاد أن استعمار الكواكب وحدهاسينقدنا من أنفسنا، لكن الاستكشاف والحفاظ علىالكواكب يُمكن أن تعمل سويًا.', ' إذًا يجب علينا التغلبعلى المهمة الأسهل بكثير بشأن الحفاظ على السكنوالعيش في الأرض.']",1,2
"['تستخدم الإنتشار ليوصلك لبيع منتجاتأكثر.', 'تجني الأرباح من شراء المزيد منالإعلانات']","['لكنني كنت آكل 3,000 سعرة حرارية في اليوم،وقلصتها إلى 2,000 سعرة حرارية في اليوم، وخسرتالوزن.', 'خسرت حوالي رطلا في الأسبوع في حوالي40 أسبوعاً']","['لن تقول أدعية.', 'لن تكتب ترانيم دينية']","['هي فقط قريبة من الوطن ""الأرض"".', 'علينا فهم كيفيةإنشاء المساحات الصالحة للسكن والحفاظ عليها خارجالمساحات الوعرة المعادية البعيدة.']",2,4
"['الجواب هو نعم.', 'والآن سنقوم باختبارصغير']","['لماذا لا نستطيع تغيير السياسين؟', 'لماذا لا نطالبهمبذلك؟']","['لذا فهم يظنّون أنّها قد تتطوّر خلال خمسة أعوام', 'ومعأنّهم سيكونون مخطئيين، لن يكون هذا الأمر مهما']","['وكم يحق لهم؟', 'ومن سيقوم بالدفع؟']",4,1
"['كان مثل مليون مُصلّي.', 'وألف تسبيحومليون دعاء']","['دعوني اخبركم عن توقعاتنا لما يمكن ان نصل اليه جراءكل هذا', 'الآن تخيلوا حالة مثل الصرع بحيث يكون فيهاالدماغ نشطاً بشدة']","['هم يريدون فعلا استعادة عالمهم.', 'وقد حاولوا مراتومرات']","['بين 2006 إلى 2009، بلدنا، لبنان، مرَّ بسنوات عدماستقرار، اجتياحات، و المزيد من الاغتيالات', 'لقدتقسمت البلد مرة أخرى، كان الضغط كبيراً جداً حتى أنبرلماننا استقال، لم يكن لدينا رئيس لسنة، و لا رئيسوزراء']",1,2
"['لا أحد لإلقاء نظرة على التشخيص.', 'لاأحد لمعرفة أي أداة ينبغي أن تستخدم']","['ثم يأتي الجزء الاول من السؤال.', 'وثم يأتي الجزءالمفضل بالنسبة لي من السؤال']","[' لم أكن أقترح انني سوف اذهب وأقوم بذلك ,لكن...', 'توجد هناك ظاهرة كتبت وتحدثت عنها وهي الشيخوخةالضئيلة']","['هذا هو، في الواقع، مرحلة أخرى.', 'الآن، ربما لاحظبعضكم ذلك المشهد هنا']",2,4
"['وصلت إليه، واصطدمت بنا الموجة', 'رجعناللشاطىء، وكان بخير']","['لقد ولدت صماء، وعلموني أن الصوت ليس جزء منحياتي', 'أود أن أتحدث معكم قليلا عن قصة لغة الإشارةالأمريكية، الـASL وجوانب من حياتي الشخصية.']","['لذا قررت ان ابتكر منهاج عمل يتناسب مع تلكالامكانيات', 'ستكون الاولى من نوعها على الاطلاق فيبريطانيا الاوركسترا العالمية للمعوقين']","['و بعد أن يكبروا و يتخرجوا، تخف عنك المسئولية .', 'ولكن إذا سأل أحدكم، هل هناك شيء سيظل مرتفعا؟']",1,4
"['الشيء الواضح، الذي هو محور بقيةمحادثتي وهو الناس الآخرون.', 'يعاد توزيعنفس أنظمة التقييم هذه عندما نقوم بتقييمالتفاعلات مع أشخاص آخرين']","['ويتم الحجز مجانا عبر الموقع', 'انخفض الموشر العاملسوق ابوظبي']","['و أنا لست متأكدا بوجود فائدة جمة لها , و لكن قدتكون واقعية ,و فعلا فائدة جمة في المستقبل', 'إذا ماذاحدث ؟ المستهلكون أنتجوا موسيقى الراب']","['و ذهبت إلى كامبريدج . و هنالك وقعت في حبالفيزياء النظرية', 'حسنا   لن أقوم بشرح هذه المعادلة ولكن الفيزياء النظرية موضوع مدهش حقا']",4,2
"['وتجدون هذا الميل في جميع أنحاء العالملرجال يريدون شهادة', 'لماذا؟ لأنهم يريدونترك القرية والذهاب إلى مدينة ليبحثوا عنعمل']","['و الأن لدي ابنتان.""', 'وأحدث ذلك فرقا في كيفيةتربيتي لهما']","['لذا هذه المرأة، أم هذا الصبي قامت بتركيب المرحاضفي بضع ساعات.', 'طوال حياتها، كانت تستخدم حقلالموز الذي خلفها ولكنها قامت بتركيب المرحاض في بضعساعات']","['يمكننا أن نكون أناسا يعيشون حياتهم ممتنين.', 'حياةمليئة بالشكر  هذا هو المراد']",1,2
"['ماذا حدث هذه المرة؟', 'هذه المرة، قامتالمجموعة المحفزة']","['قد يبدو هذا غريبا، لكنني معجبة جدا بوحداتالخرسانة.', 'أصبحت وحدات الخرسانة بسرعة أكثروحدات البناء استخداما في العالم.']","['ارتفعت كمية الاسهم المتداولة بنسبة المائة', 'استحوذقطاع الاستثمار اكبر كمية تداول الاسبوع ']","['اذاً أول ما سأتحدث عنه هو الأجهزة الطبية.', 'فيالعصر الحاضر أحرزت الأجهزة الطبية تقدما كبيرا فيتقنياتها']",4,3
"['يتعلق بشرعية قاعدة البيانات المستعملةوموافقة الاشخاص المستهدفين', ' ومعلومالرسائل النصية الاشهارية ترد هواتف الزبناءدائما مصدرها شركات الاتصالات']","['الأنهار الجليدية والجليد البحري التي كانت معنا منذآلاف السنين تختفي الآن في غضون عقود.', 'الأنهارالجليدية والجليد البحري التي كانت معنا منذ لآلافالسنين تختفي الآن.']","['في ثقافة الصم، تعادل الحركة الصوت.', 'هكذا يمكنناالتعبير عن كلمة ""موظفون"".']","['أجبتها: ""الأطفال يُقتلون هناك،', 'أشياء فظيعة تحدثهناك']",2,3
"['لأنكم ترون الآن ,أنا قدمت إحصائيات غيرموجودة.', 'لأن هذا هو ما نحن عليه الآن']","['هل تريد شراء واحد منها ؟', 'طريقةٌ مختلفةٌ تماماأليس كذلك ؟']","['جبار : ماذا عنا .. ماذا عن بقيتنا', 'الا نستحق ان يتمانقاذنا ماذا عني ؟']","['لا بد من وجود سبب لذلك ""', 'لكنه كان مصيباً ، فقدكانت فكرة حمقاء']",3,4
"['كان الصوت جزءاً كبيراً من حياتي. فيالحقيقة، كان يتردد في ذهني كل يومٍ.', 'إذاً،كيف أمكنني فهم الصوت؟']","['وكان أسوأ إختراع بالنسبة للمرأة هو المحراث', 'فمنذبدأ أستخدام المحراث الزراعي أصبح الرجال أقوى']","['إذاً، السيد آل غور، شكراً لك.', 'لقد دمرت حياتي،لكنك أعطيتني مستقبل مذهل']","['هذه هي الفكرة كلها.', 'وما هو الأثر؟']",2,1
"['حققت عقود الفضة الاجلة نموا بنسبةمقارنة بالشهر الصدد', 'الطلب المستمروالمتزايد لمنتجات وخدمات بورصة دبي للذهبوالسلع']","['ولا يكون المترجم متوفرًا دائمًا.', 'لذلك نحن نحتاجلأدوات']","['لماذا كنا نعتقد أن المسؤولية تقع على عاتق هذاالشخص هنا', 'الآن هذا هو الشخص']","['إنها للعدد الذي ينبغي معالجته.', ' عدد الأشخاصالذين يحتاجون تناول العقار أو الخضوع لعملية جراحيةأو أيّ إجراء طبي قبل مساعدة شخص واحد.']",4,1
"['لمَ تقول ذلك؟،', 'افتح دفترك وسجلصفاتهم التي تلهمك']","['الحقيقة هي أن معظم الإبداع هو تراكمي و تعاوني', ' هناك لحظة ولادة عندما يأتي شخص ما بفكرة']","['هذه معركتكم، يا قادة الأعمال.', 'إن المعركة الحقيقيةليست ضد المنافسين']","['لا استطيع وصف مشاعري وكم هذا الشيء يبدو مبهراًبالنسبة لي', 'ولكني اعرف لماذا هو مبهر بالنسبة لي']",4,1
"['ناهيك عن حقيقة أني كنت ابنة 14 --', 'قالوا لي  ، أكتبي عن كونك ابنة 14 عاماً']","['إليك كيف يشرح الفيلسوف خدعة نشر السيدةبالمنشار', 'هل تعرف خدعة نشر السيدة بالمنشار ؟']","['سجلت المبادلات التجارية بين المغرب والجزائر ادنىمستوياتها', 'وتراجعت المبادلات المغربية الجزائرية بنسبةالمائة تقريبا']","['و بقيتكم قد شاهد أطفالا.', 'أناس صغار يركضون فياﻷنحاء']",3,4
"['المستخدمون هم مصدر الإبتكارات الكبيرةو المضطربة', 'من الصعب أن تجد الأفكارالكبيرة الجديدة في أسواق متدفقة فيمؤسسات كبيرة']","['في جميع أنحاء المنزل، قم بتحديد أماكن لأشياء تضيعبسهولة', 'يبدو هذا منطقيا وهو كذلك ولكن هناك الكثيرمن العلوم لدعم هذه الفرضية بناءً على طريقة عملالذاكرة المكانية لدينا']","['قمنا بإنشاء شبكة الانترنت كرد على ذلك.', 'لذلكأحيانا يمكن للخوف أن ينتج عنه إستجابة بناءة']","['إنه شيءٌ محسوس لأي تصرف.', 'وليست كشيئٍ ذاعلاقة بالمعنى التجريدي']",2,3
"['ولذلك اعتقدنا بأنه من الممكن أن تكون هناكطريقة أفضل للحصول على وقود بديل.', 'لقدأردنا أن نصنع وقود مستخرج من شيء مامتوفر على المستوى المحلي']","['والمزيد من الأخصائيين', 'أخذنا الأطفال الى إيطاليا']","['لقد اتصلت بالدعم الفني مجددا.', 'اتصلت صباحالاثنين']","['لذا فمن المستبعد جداً أن يكون لديكم نفس المكونات , نفس الدوائر الكهربية .', 'لذا   كيف لنا أن نكوْن حقيقةأننا نستطيع أن نفهم كل واحد منها ؟']",3,2
