SentPair1,SentPair2,SentPair3,SemPair4,Best,Worst
"['ولينا رجعنا شرينا االخبز و جينا', 'أرواحي معايااليوم و أرجعي غدوة']","['ما عنديش كريدي لينيتي الأخرى خمس مية', 'أقسم بالله والله ما عندي دورو']","['لوكان برك لا تاي ما تنقصش ياسر', 'نشالله سليمةالمهم احنا ديمة رابحين']","['معاك خو ياا ربي يوفقك فيديو فوور مانسوطيش', 'يعطيك الصحة خويا شمسو جوكر كلام قاوي']",2,1
"['صح وقتنا مش مليح ﭘﺮاﭘﻮر على المشاكل الليفيه', 'بصح بكري مكانتش الدنيا ساهلة كيما وقتناأدا']","['قلتلو يقولو أمي كم أهواها و أشتاق لرؤياها', 'قاللي المرة اللولا لي فهمت من فمك دوك']","['اسمحوا لي نقدرو نحبسو الهدرة دوك ؟', 'ماعليشمراد نكملو أنا و سليمة إدا حبت']","['ﭘﺎسكو البيولوجي وعلاه البيولوجي نروح نخدم فيحاجة حتى عند الفارماسي', 'مام بصح مات وانفورماتيك و كونتابيليتي ملاح تخدمي في لابنك تنجمي']",4,2
"['عندي فوتو تيعك مع جدي', 'درك أو ميت ربييرحمو']","['يعود هو يحشم منك يحشم يدير حاجة ماشيمليحة', 'والله دوك راني ندير في الاستدعاءاتعندي زوج تلاميد']","['هدا راه فن كمال لازم نقراوه', 'نحب الأمتال بزوجكلمات تخبط ابن آدم']","['حتى المغارف مكانش', 'سيبون أني ﻟﭭﻴﺖ']",1,3
"['كمل برك راك فور خويا شمسو', 'منسوطيش ابوني45مليون جام و45مليون معاك الحق يقال']","['خليك من لافاك فيها مشاكل ياسر', 'أوﻣﭙﻠﻮسكي تتخرجي ما ﺗﻠﭭﺎيش الخدمة']","['نطلب بابا', 'نطلب ماما']","['و أنا تما عيطت لي كنت قاعدة نقرا فيه', 'ما جبتلناشالتصاور  نشوفو مريومة كيفاش دايرة']",2,4
"['يعطيك الصحة شمسو خويا ربي حفظك', 'رانامعاك شمسو يحيا شمسو']","['و لانفورماتيك عندك فكرة عليها ولا لالا', 'ايه  پاسكو أختي كانت تقرا فيها']","['عاديكا', 'أونتريناوا']","['سنيت بالخميس شفت ليمايل تاعي فالصباح و فالعشيةو بالجمعة و بالسبت ما لقيت والو بعت له ايمايل قلت لهراني نسنا', 'رجعلي قالي لالا پاسكو ما عندوش الوقت ويپريپاري في دوكتورا و راح يسوتني و كدا و ما عندوشالوقت']",1,3
"['أنا درت مودپاس معقد خلاه', 'يعطيك الصحةعقدتاها مرة وحدة']","['تروح تقرا كل يوم أﻣﭙﻮسيبل ديرهم كل', 'كل يوممن التمنية للربعة تروح ميت للدار']","['وين كان مخبي الحقد و الكره أدا كل', 'ما بقاتشفيها رحمة ﻟڤل لهب أدي']","['حبيت ولا كرهت أنا راح نتزوج بيها', 'نحكمك المرةالجاية نقطعك طراف طراف']",1,4
"['تقدري تكتبي ليدي ماشي شرط كلمة بكلمة', 'ايماجيني هكا و ما يعطيوكش لانوت']","['صحا', 'ألو']","['كيما هداك لي حكالنا عليه عبدو لي عنده زعكةصغيرة', 'هداك ماراهوش سلالة أصيلة كيما نقولو راههجين تاع زوج سلالات']","['مكانوش يونتريني', 'أهدري بالتليفون']",3,2
"['ڤلك ما يقدرش يخش فيك سادﻳﭙﻮن إيمانك', 'لامشي ايمانك ما يقدرش يسكنك']","['البنات ﭭاع حكاولي ميمي مسكينة  لي نطلعمعاها تحكيلي وش صرا', 'علابالك مت بالتبهديلدارلي حالة لولاد قعدو غير يخزرو فيه قالولو واشقالتلك']","['بالصح أنا نشوفها بريود و تعدي مش لازم الواحد يديرعليهم لا پريسيون', 'وش قولكم في لكسپرسيون تاعدزاير اللي تڨول ما كانش وين يڨيل الزاوش']","['خطرة شافت واحد جايز قالت بقا في بالي حتى و رجلومقطعة قلت لهم لوكان غير يجيني', 'دايمن ﻳقولولها كيتتخطب كاش وحدة العقوبة ليك دايمن يجي في بالهاهاداك لي شافتو خطرة وحدة']",4,3
"['لالا مارانيش داكور', 'هكدا ترجع عربية']","['ونا مريم', 'وين يخدم']","['بديت نحفظ من ﻟﭙﺮوميار لوسون لي درناهم', 'وأﭭﻮنسيتو في ﻟﭙﺮوميي تريماستر ولا لالا']","['اتي أداك السني', 'أعطيني نعض معاك']",3,2
"['صح منك هاداك يتاستيو بيه النسا', 'قالولي باشتشوف إلا تعرف ولا لالا']","['ڤاتلي وش تلبسي ما تعجبينيش', 'لا مش هكعلى الصباح']","['لوخر يشرب في القهوة تاعو', 'و انا نسيي فيانترنات']","['أنت أنت على بالك بروحك درت حاجة', 'الحق مانصليش  كل يوم']",2,3
"['على الاقل تاع شتا يرد عليك البرد', 'صح سجلناﭬريب خمسة و عشرين دقيقة']","['مش تعكم انتم', 'تاع ستيك جوكروا']","['ﭬﺎتلهم جامي شفتكم', 'خزرت معاهم أنا']","['لازم تتكلي على روحك و تستحفظي على روحك', 'حاجةما تدوم في الدنيا هادي أﭘﺎر سلاحك']",4,1
"['ما على باليش أني عيط لها درك', 'و اليوم مالا وشرحتي درتي']","['مالا تحكمهم تاع الخميس', 'لا بالخميس رايحةللعرس']","['راحت كريمة وما ولاتش', 'لا أنا هنا مراد']","['ڤالت لي طيشيه ﭬﺘﻠﻬﺎ ما نطيشوش', 'هيا أدي لقطةنطيش الستيلو ﭬدام الراجل']",2,3
"['ما صليتش لعصر نتوضا', 'و انت سجلتي روحك']","['و لابسة الشاﭘﻮ و الدنيا شوية ظلمة بالغيوم', 'جا عصام وراها ﭬﺎلها والله نخساب فيك لاجون']","['راك فور خويا لطفي', 'كـيـما هـاك خويا لطفي']","['لهيه راهم حيين', 'هاك هدا يحفظك']",3,1
"['ترجمهالي وحدو', 'ابداو احكيو']","['امالة جرب قبل ماتفرماتي', 'فهموني على واشنهدرو']","['ما تقدرش تهرب  تلقاه قدامك', 'قادر يهبط لك هديكامل دهب']","['كيما هك يطيح النيڢو تعنا', 'مكانش نيڢو ﭘﺎسكومكانش النية']",4,2
"['خرجت اليوم على الزوج و نص', 'خرجت حففتطلعت للدار خلاص النهار']","['نضن لازم نكتبو في زوج سليمة بالدزيري وانابالعنابي', 'تاني راني نعمل في نفس الشي معصاحبتي في الفايسبوك']","['لالا وحداخر', 'ماشي كيمو']","['نعطيك عينيا معاهم', 'خلي عينيك لمرتك']",1,2
"['أدي او ما ﻟﭭﺎوهش كيفماه أ خويا كي تدخل لتموش يصرالك واحد ما عمبالو', 'تعدي طيارة أطيحبابور يغرق بصح ڤلك قادر ڤلك كاينة أوقات يطيحأوقات يعدي نورمال']","['وعلاش لا المهم نحكيو', 'وهذه ماشي هدرةسليمة']","['بصح هو اللي حب على لحداش', 'هادي صح اناپروپوزيت العشرة و نص']","['أيا بالسلامة', 'سلمي عليهم']",4,2
"['طمناته باللي راهو مع الخدامة و ما شقاتش روحهاحتى تتأكد', 'زاد رﭬﺪ مرة أخرى حلم بمرته تڨول لهتوله بولدك']","['كانز دينار', 'كاين الدراهم']","['أياه وعلاش', 'يـﭭصر برك']","['ديرها في غرضك خير', 'آ خالد آنا جايين']",2,3
"['بديت نحفض ماﻟﭙﺮوميار لوسون اللي درناها', 'وأڢونسيتوا في اﻟﭙﺮومي تريماستر ولا لا']","['تعمرت ايه ما عنديش بلاصة بزاف سينون رانيسجلت أكتر من هكا', 'مالا تاع صوتي خليه ماتنحيهش كيفاش جاي صوتي مليح ولا لالا']","['أنيس أغلق فمك أسكت', 'هاتي أميرة لوخر شكرا']","['كلام نعيمة صح', 'المغرب والجزائر خاوة خاوة']",1,4
"['ڤتلو تسمى الله غالب باه ما تعديش الدراري و زيدبنتك نفحتلها السمانة أدي تحلو و تلعب بيه', 'ڤتلوشوف أنا ﭬالوا لي لولاد شفتاها أ مدام شوفاها وشاسمها فلانة اي لابسة الطالون']","['هاه أكتب هات الستيلو هات هات زينب روحتولا مازالت', 'مازالت أو درك أنا طالعين لعنابة دركتجي معانا']","['قولي لحورية بلاك دوك تقول لهم', 'لوكان حفيظة تانيتسكن قدام ليليا']","['الحوت', 'بصحتك']",3,4
"['ها هي أدي هي جامي ﻧﻠﭭﻰ الحل', 'ماما مسكينةقلقت من ﺍﻟﭭﻌﺪة بحداك']","['هاك شفت بعينيك باللي الناس راهم مهتمينياسر بهدا السوجي', 'بيان سور نروحو لسنغابورإدا قفزنا   ونقدرو نروحو بعيد']","['ام دراري صغار يحكمو رجل', 'اها ارواحي احكيانتي هنا']","['ساڢا الحمدلله', 'عندكم ياسر']",2,3
"['آت اﻟﭙﻮرتابل', 'جيب يومة']","['إدا محرم أم حيزيدو يأجلولو', 'و خالد و مرتويخدمو']","['لالا حنا نسمعو برك', 'حتى شطحة ساعات تفرج']","['والله على بالك البارح تقلقت ڤاع على شعرة كنت رايحةنبطل الخطبة هدي كامل', 'لالا لالا لالا بالعقل برك وداد  الحكايات هدوما كامل يصراو راكي على بالك']",4,2
"['تسيح بالدم رجلي', 'مسكينة سوفرات سوا']","['في الطرﻳق تاع لاكلينيك سيبوس تهبطيمالتحت', 'وين جاية لـﭘـلاصا وين جاية لاكلينيكسيبوس']","['ڤتلو نڤول لك حاجة ادي كونجي و عيطلي كي داكونجي و عيطلي ڤتلو في لامان أ خويا الطمع مشومليح', 'الميدسان التالت تاع العينين رحت نداوي عندوڤتلو أ حكيم عندي لوجيسيال و كدا حكيتلو ڤاليننصحك طيش عليك']","['ڤل له بينلي بلي ربي كاين و نا ما نامنش بالقضاء والقدر', 'كيفماه ﺗﭭﻮلي هدا العبد مقدرتلو يصرالو كيماهكا و ما على باليش']",1,2
"['وقتاه حكيتيلي عليه ما شفيتش', 'و الله ڤالت لكعليه']","['ايه رانا تهنينا', 'راكم لاباس مالا']","['ﭬﺘﻠﻮ أيا تجي معاي للاكافات نشربو قهوة', 'ماو كيماعلابالك عزو مزال دري']","['قالت أستاد ما علاباليش واش ندير', 'قلتلها تعرفيالمدرسة العليا للعلوم السياسية']",4,1
"['سحنون خطيبة سيدحمد راح يخسروها', 'السييزيام فالسنا الخامسا هه عليلو بياساا']","['حيرة أول مرة نسمع باها', 'و حيلي خلاه أكترمالديب']","['حنا وسي', 'الناس كل']","['ڤتلنا وش معناها البطة وعلاه ما حطوش الناس أدوكاتاع المجاعة ولا ضحايا الحرب هكا', 'ڤلك في وحدلبلاصة باتنة ولا تبسة نسيت لڤاو جلود و ريسان تاعحلالف']",1,3
"['ڤاعد يقنع في المسلمين باش يتنصرو و يعودومسيح', 'وش دارو حكمو الهدرة تيعو أديكا هزوها ونشروها']","['هاه تاع لبيبة', 'جوستومون نعيط لها']","['فكرتيني درك نعيط لطه', 'وش ﻧﭭﻮلولو على الساعة']","['عطاني كاشيات تاع الصبر', 'مالا عندك الصبر ياسر']",1,3
"['ما تخممش على التنواع كمال رانا متهليين فيها', 'حتى الدرك حكينا على كلش حتى على لا بولتيك']","['كي تجي تشوفي ما خيرناهاش هادا واشكاين', 'أنا دارها بيا التروﻧﺴﭙﻮر ساعة و انانسنا']","['بصح هي مسكينة ما حكموش عليها الدوسيي', 'خولةنتي وقتاش دﯾﭙﻮزيتي الدوسي ما شفتيش']","['آه امبعد نروحو', 'نبعتولها خويا يداها']",3,1
"['يعطيك الصحة خونا لطفي', 'لطفي نتايا وحدك اللهيحفظك']","['تسمى أدوهم الحوايج لي خلاهم ربي أﻣﭙﻮسيبلتوصللهم', 'دير وش حبيت الشيطان ما تقدرشتشوفو']","['هاه قريت سليمة', 'على بالي كريمة']","['الجزاير ما نكرهاش نكره العوج اللي فيها', 'العوجهاداك كامل كرهناه بالصح واش نديرو']",4,2
"['إيه', 'شكون']","['حبيت تعرف المعنى نتاعها', 'يعني القرامد الكلطايرين']","['لا مكانش منها ما ڤالت ليش', 'سي أ بنتي ڤالت لكديك الخطرة']","['تعاودو تديوها و توليو', 'لالا رانا رايحين لدسـﭘونسير']",3,1
"['انت شفتاها النو نهار واحد يعديوا الفصول كل', 'هاي سخانة هاو برد هاي نو تحيري سبحان الله']","['زيدي قولي لي هدي تاني ما علابالكش بيها', 'عنده قرن ملي تحكم كان هارب لمالي ولا النيجر']","['لا وش نندب باها قريت قريت فلاﺳﭙﻴﺴﻴﺎليتي تاعي', 'هاه أجون دو سيزي طلبوا وحدة معايا دياﻳﻴﭙﻲليسونسي']","['و كي راحوا للغابة صافي ماشي مالفين هوما يصيدومربيينهم يجيبولهم اللحم عندهم ما يعرفوش كيفاشيصيدو', 'ولاوا واش يديرو ساعة يهجمو على الديارساعة يلقاو كميون تاع لحم جايز يهجمو عليه باشياكلو']",1,3
"['حبيت نشري سباط', 'حابة تشري سباط']","['وين هنا أم يديرو لكلاسمون', 'دونك اون سولميتود غالطة']","['انشاءلله نجيبوا الباك', 'راك فور قاستك من']","['داتها الحكومة الأرض تعهم', 'راح تعطيهم ربعة ملاير']",1,3
"['والله ما على بالي فيهم كل ولا لا', 'ساعات تنفحليعلى اﻟﭙﻮرتابل و ساعة نڤول نرجع للساﻣﭙﻞ']","['حطوه معاها مسكين', 'أفيشاو لمتحاناتشفتوهم']","['قبلوني في ﻟﻴﻜﻴﭗ سكولار', 'تلعبو كونتر ليزﻳﻜﻴﭗلوخرين']","['الف مبروك حبيبتي ام وليد تستحقين اكثر', 'مبروك اموليد تستاهليها شكرا على كل الوصفات']",4,1
"['روح', 'وش']","['مالا اﻟﭙﻮست لي عطاوه لك مليح', 'إيه مليح روعةنخدم مع المقتصدة']","['خولة يخي رحت انا وياك اليوم للافاك', 'و شفنالفيشاج تاع السوماستر لول']","['ايه التون بلاك', 'اﻟﺸﻴﭙﺲ ماشي مليح']",2,1
"['مالا تحكمهم تاع الخميس', 'لالا بالخميس رايحةللعرس']","['سليمة معليش نحبسو ما زالي خدمة للغدوة', 'إيه كريمة ربي يعاونك ما تنسايش تدعي لنا']","['لا المطرح', 'آه آه']","['كانت مغلوقة دوك كي جيت', 'ما جاوش دار خالتيمسعودة']",1,3
"['أسمعي حتى لعراس فضو باه نتلاڤاو شفتي', 'شفتي والله أنا عندي العرس تاع عبد النور']","['يعطيك الصحة حتى انا مانسوطيش', 'يعطيكالصحه رانا معاك شمسو']","['في الليل قالت له أيا نشوفو المخازن', 'قال لها هو لالاخلي للصباح']","['كاين ياسر لي فيلم في رمضان', 'لازم عليك تڨوليللطلبة يعاونوك هدا العام']",2,4
"['توحشتوها', 'بيانسور']","['وعلاه شكون ﭬﻠﻚ أني خايفة', 'والله بديت نقلقمنو أدا']","['ليزنترن هما اللي ما يدخلوش بكري', 'يديوها غدوةغدوة حتي يفض العام']","['سلام سليمة واش راكي اليوم', 'الحمد لله و انتكريمة']",4,1
"['لالا لالا لالا بالعقل برك وداد  الحكايات هدوما كامليصراو راكي على بالك', 'حتى انا استغفرت وشهدت واش راح يدير العبد إلا المكتوب جاء هاكا']","['و تكون كاينة الهدرة بزاف', 'عندنا البرق راهداير حالة']","['خيطتلها ﭬﻨﺎدر باه تلبسهم', 'و الطفلة راحت لكندا']","['أنا حبيت نقراه ومن بعد نعطيك رايي', 'أنا بديت نقراهما زال ما كملتوش']",4,2
"['يعطيك الصحة خويا لعزيز راك مبدع منسوطيش', 'ربي يحفضك شمسو فيديو يهبل يعطيك الصحة']","['تحياتنا ليك لطفي روعة', 'راك فور خويا لطفي']","['انشاء الله تجيب الباك', 'انشاله اجيبو الباك']","['أنا ﭬﻠﺖ نزوزو كشما ينوب عليه ربي', 'وعلاه ماتجيبوش واحد ولا ربيوه واديوا حسانتو']",2,4
"['مالا حطة يا فريال إكري روﭙـا', 'أنا لي زعمةفيدونور و راكي تعرفي']","['هي مام الشات مليح ، شفت البارح في تلتايام 600 فراز', 'انعم رانا ناڢونسيو أنا حتى فيالفايس بوك عدت نحكي مع صحاباتي بالدارجة']","['امبعد ڤالت لي طاح علاها الباب', 'بلعقل ڤالت ليشفتي منا الباب']","['وش ادير', 'ما شفناهاش']",2,4
"['حنا نتشاركوا في واه', 'نتشاركوا في فكرة أكا']","['آه بدات تعطيهم في السم تحطلهم فيه في الماكون تشوفيهم تعطيهم البيبرون', 'يروحو يشربو وما عامبالهمش بلي ڤاعدين يتسمو حرام علاها والله حرام علاها']","['سينون اي الدنيا ﻣﭭﻠﺒﺔ', 'مازالت الدنيا ﻣﭭﻠﺒﺔ عندك']","['ما تديوش نقطة كاملة على الكتابة', 'كاينين تمارينيعطيهملك باش تتعلمي تكتبي الحروف']",3,2
"['أومبعد قالت لي طاح عليها الباب', 'بالعقل قالتلي شفت منا الباب']","['مكانش قريصات و خشيبات', 'هما ماعندهمش خشيبات']","['عدات عوام وليت جون و امبعد زوزت', 'ساعة ساعةنحس بالفشلة من إيفور صغير نعمله']","['مبعديكا نولي پروف', 'اسكو كاپابل تقري']",2,3
"['ربي يحفضك خويا شمسو', 'قوة شمسو برافوو']","['ﻟﭭﻴﺖ مرت جمال تما', 'لعزوز و الشايبوحدهم']","['يعني يتدوق الفن ، هادي هي', 'العسل عنده ودنينهادي ما نعرفهاش']","['ألو', 'ايه']",1,4
"['كملت قرايتي في لافاك بالسيف', 'ما كنتش سيريوفي قرايتي']","['بالاك كمال سورتو كي نشبهلها في كلشوعلاش في الغنى لا', 'البارح دارها من بعد وقيلةخمسة و عشرين سنة من بعد']","['يعطيك الصحة وقيل شاتينا الخير والبركة ، واش رايك؟', 'تاع الصح راني من العشرة  و نص قدام الپيسي']","['لالا حتى حاجة', 'بالصح لاﻟﭭﻮريتميك أكتر']",1,4
"['و مازال كتبت برك في ڤوڤل أمثال جزائرية خرجوامعمرة', 'الناس راهي تشارك شويه   شوفوا هدا  الديكسيونير  فرنسي دارجة']","['و نا ﻣا ڤال ليﺶ نعيطلو ڤال لي عيطلو وحدك', 'أﭘرامو غاضاتو كي عطاه كلمة و امبعد دار فيحالو']","['دوك نهار تخلصهم الحكومة كامل يروحو يسنييو', 'تجيها هي و بوبة تمنمية مليون']","['اها هي نورمال', 'الحمد لله شبعت']",3,4
"['ما عنديش حكيتلك كيفاش تعرفت عليه صدفة', 'الراجل هداك لي قال لي عليه']","['قريب نشا الله', 'مليح نشا الله']","['قانون حسبت يديروه غير تاع الأدب', 'لالا هو ماداروش في لافاك']","['أي رايحة درك بعد درك خارجة', 'أه خطراكش غدوة أيالفاتحة تاع هشام']",2,4
"['روعة يعطيك الصحة جربتو وخرج هايل', 'معاهويوسف زروطة ولا لا']","['توصيل الفيديو الى مليون مشاهدة لي معايجام', 'انا نسوطي نفس الوقت مانسوطيش ظرففارغ']","['ماشي مشكل', 'يسكن هنا']","['ديفيسيل باش تعرفي سليمة', 'دابور كيفاش يسقط ؟']",2,3
"['هبطلي المورال نهار الجمعة مي درك ساڢا', 'أناحبيت نقراه ومن بعد نعطيك رايي']","['كل واحدة فيهم تخليني ننوم يا شيخ', 'لازمالمنام تاعك يكون صحيح يا وليدي']","['ماما أكي أ ميمي ادي لماما ڤولي لها ادوﭪ', 'ماماأكي أي ڤالت لك سارة دوﭬﻲ طابت']","['واش راهو المقرمد هداك', 'تهنينا منه سمانة هداك']",4,2
"['ام جامي كلاساوها', 'نروح نقري طول']","['راني ميت بالضحك', 'قيت لك خاطيني']","['عندك النيميرو تاع حبيبة', 'شكون حبيبة طاطا زينب']","['راسي', 'شربتها']",3,4
"['أنا داير هاد القمجة  تاع الغنا', 'لاشين يجيبومنها الصباط  ؟']","['شوفوهم و قولولي واش نقدرو أنديرو', 'كاين فيهالهدرة  يلزم يتكتب برك']","['يقول لك لوكان يعرف واش تحب أنت', 'واحد يحبالدراهم يعطي له الدراهم']","['مراد راهو اون لين يا درا ولا راه يقرا', 'شكيتو كونكتيبرك شي واش راه يدير في بلاصة وحدأخرى']",2,1
"['وش', 'مكانش']","['بالصح غالية بزاف تسعميا و خمسين', 'شحالتسعميا و خمسين ساڢا ﭘﺎ']","['أنا حبيت نشري ڢيستا كحلة و عجبتني وحدة', 'أناإدا صلحتلي تاع دياﻳﭙﻲ نشري وحدة']","['و كي راحو للغابة صافي مش مالفين هما يصيدومربيينهم يجيبولهم اللحم عندهم ما يعرفوش كيفماهيصيدو', 'ولاوا وش يديرو ساعة يهجمو على ززار ساعةيلڤاو كميونة تاع لحم معدية يهجمو علاها باش يوكلو']",3,1
"['اسكو انت البارح جاك واحد و ﭬﻠﻚ اك رح تتضرببكف', 'ولا عيطلك واحد و ﭬﻠﻚ او فلان رح يضربكغدوة بكف']","['أه أنتي الكامرون ما حبوش يلعبو معانا', 'أهعلاجال السوارد قريتها في الشروق']","['يعطيك الصحة ديما فور', 'روعة ام وليد يعطيكالصحة']","['خالتي زينب أي عدات عند كوكة', 'آه سور أيا مالاتهلاي أ سهام']",3,1
"['صح على بالي و تاني باش يموتڢينا', 'كيما بكرينقراو كي نشوفو الشيخ']","['أيا السلام عليكم في لمان', 'والله جون روعةمصلي تقي']","['روعة شمسو برافو', 'ربي يهنيك خويا شمسو']","['افضل حلقة فور صالح اوقرت كمل هكدا', 'يعطيكالصحة جربتو جاني روعة رابي يحفضاك']",3,2
"['ڤالت لي و يموت على يكوپي', 'ﭬﺎتلها خديجة أهمليك يخرج حاجة']","['وش معناها', 'قرمة خلاه']","['تلت سنين شوية فوق تلت سنين', 'ايه تلت سنين و نصقريب ربعة']","['جيبنا الخبز', 'ضارب معاه']",3,4
"['وي دزاير كبيرة ياسر وفيها غاشي كبير', 'درتساعة باش ترجمت هاد الجملة']","['لاباس الحمد لله وش راكي انتيا', 'والله ساڢاتاع من النيميرو أدا']","['غدوة إن شاء الله', 'تصبحو على خير انشالله']","['جو بريفير كل يوم نهدرو على دومان سپيسيال', 'ماعليش مراد نبينو بصح ماشي على الحداش تاعالليل']",2,1
"['سليمة , نسيت ما سقسيتكش إدا بديت الخدمةاللي هدرنا عليها الخطرة اللي فاتت في الاجتماعمع كمال وكريمة', 'كريمة   مادا بيك لو كان ڤونفليتيشوية الميساج ديالك اللي بعثته لكمال   جملة واحدةبرك ؟']","['هاه أنا تهانينا', 'أكم لاباس مالا']","['أنا بصح أم ﻳﭭﻌﺪو حرين باينة خلاه', 'حاجة حرة ﺗﭭﻌﺪمشي كيف الحاجة المدرحة']","['يعني يتدوق الفن ، هادي هي ؟', 'العسل عنده ودنينهادي ما نعرفهاش']",3,4
"['يعطيك الصحه رانا معاك شمسو', 'مازالني نعاودفي شكون كيفي']","['ﭬﺘﻠﮭﺎ اه مع باباس من وقتاه', 'بصح وقيلةفينالمون صح رايحة تخدم معاها']","['ألو أمينة', 'سا ﭭﺎ']","['نو لازم لازم يكون عندك تام ما كان حتى حاجة', 'دوكراني بديت في دومان باينة راح نكمل فيه']",4,3
"['آكي أ مدام إلبسي الطابلية هنا', 'وين نروحو أنا وبنتي وين']","['صح وقتنا ماشي مليح ﭘﺮاﭘﻮر للمشاكل لي فيهو كلش', 'بصح بكري ما كانتش الدنيا ساهلةكيما وقتنا هادا']","['قنبلة خويا لطفي كالعادة', 'روعة كي العادة لطفي']","['كون حكمتك خدمتك روح أخدم خدمتك الفوڤ', 'سامحيني أ مدام ما بقيتش نعاودها']",3,4
"['أو كان لازم عليه يفهم التام تيعو', 'آه هاه حنا أديدرناها ﻓﻠﻴﻜﺴﭙﻮزي']","['كي فاتت تلت سنين ولدت مرتو الجديدة زوجبنات و ولد', 'مرت باباه ما علابالهاش بالولد ليعمرو ما يفوتش ربع سنين']","['ايه  وعلاه ماعنديش البوابر يخرجو يصيدو', 'أنانشوفها غير كي نكون مسافرة']","['ناس مرضى يا راجل', 'او كاين عندكم پوز']",3,2
