Language,Sentence pair,Translation,Score
Hindi,"शीर्ष अदालत या समिति जो भी निर्णय लेगी, मैं उसे स्वीकार करूंगा।
दलाल पिछले चार वर्षों से संयुक्त सचिव थे।","Whatever decision the apex court or committee takes, I will accept it.
Dalal was joint secretary for the last four years.",0.14
Marathi,"भांडवली नफा कर उपचार एखाद्या ‘वैयक्तिक’ गुंतवणूकदारासाठी भौतिक सोन्यासारखेच असेल.
वैयक्तिक गुंतवणूकदारासाठी भांडवली लाभ कर सोन्याप्रमाणेच असेल.","For an 'individual' investor capital gains tax treatment will be similar to physical gold.
Capital gains tax for individual investors will be similar to gold.",0.94
Marathi,"आग विझल्यानंतर त्याची चौकशी करण्यात येईल, असे खान यांनी सांगितले.
दरम्यान, आग लागल्य३ाने या परिसरात मोठ्या प्रमाणावर वाहतूक कोंडी झाली होती.","Khan said that once the fire is extinguished he will be investigating it.
Meanwhile, there was a massive traffic jam in the area due to the fire.",0.81
Marathi,"कलमाडी यांचे कार्य पुढे नेण्याचा प्रयत्न करू, असे हमाद म्हणाले.
कलमाडी यांचे एएएसाठीचे योगदान मोठे आहे.","We will try to take Kalmadi's work forward, said Hamad.
Kalmadi's contribution to AAA is immense.",0.72
Marathi,"ठाकरे सरकारच्या मंत्रिमंडळात 25 कॅबिनेट मंत्री असणार आहेत.
त्यामुळे गुढी पाडवा मेळाव्यामध्ये राज ठाकरे काय बोलणार याकडे सर्वांचे लक्ष लागून राहिले आहे.","Thackeray government will have 25 cabinet ministers.
Therefore, everyone's attention is on what Raj Thackeray will say in the Gudi Padwa gathering.",0.42
Marathi,"दरम्यान शेतकरी आंदोलनात गडबड करण्यासाठी पाकिस्तानने ट्विटरवरून कारस्थान रचल्याची माहिती पोलिसांनी दिली.
पिंपरी : बनावट नोटा तयार करणाऱ्या आंतरराज्य रॅकेटचा निगडी पोलिसांनी पर्दाफाश केला आहे.","Meanwhile, the police informed that Pakistan has hatched a conspiracy through Twitter to disrupt the farmers' movement.
Pimpri: Nigdi Police has busted an inter-state racket of producing fake currency notes.",0.22
Telugu,"వచ్చే రెండు రోజుల్లో తెలంగాణలోకి నైరుతి రుతుపవనాలు రానున్నాయి.
మరో రెండు రోజుల్లో నైరుతి రుతుపవనాలు తెలంగాణను తాకనున్నాయి.","Southwest Monsoon will enter Telangana in the next two days.
Southwest Monsoon will hit Telangana in next two days.",0.97
Telugu,"మోడీ యాప్ ద్వారా ఒలింపిక్స్పై ఎందరో స్పందించారని ప్రధాని మోడీ అన్నారు .
మోదీ యాప్ ద్వారా ఒలింపిక్స్పై చాలా మంది స్పందించారని ప్రధాని మోదీ తెలిపారు.","Prime Minister Modi said that many people responded to the Olympics through the Modi app.
PM Modi said that many people responded to the Olympics through the Modi app.",0.88
Telugu,"2015లో యాక్టివా స్కూటర్పై అను తన ఆఫీసుకు వెళుతుండగా వేగంగా వచ్చిన ఒక కారు ఆమెను ఢీకొంది.
ఈ ప్రమాదంలో అను అక్కడికక్కడే మరణించింది.","In 2015, Anu was going to her office on an Activa scooter when a speeding car hit her.
Anu died on the spot in the accident.",0.7
Telugu,"క్రికెట్ అన్ని ఫార్మాట్స్కు మలింగ గుడ్బై
కొలంబో: శ్రీలంక సీనియర్ పేసర్ లసిత్ మలింగ క్రికెట్ అన్ని రకాల ఫార్మాట్స్కు గుడ్బై చెప్పాడు.","Cricket: Malinga bid adieu to all formats.
Colombo: Sri Lanka pacer Lasith Malinga has announced his retirement from all forms of cricket.",0.62
Telugu,"ప్రతిపక్ష నేత పై మంత్రి అనిల్ విమర్శల వర్షం
తొమ్మిదేళ్లు అధికారంలో ఉండి చంద్రబాబు పోలవరాన్ని పట్టించుకోలేదని రాష్ట్ర నీటిపారుదల శాఖ మంత్రి అనిల్కుమార్ యాదవ్ అన్నారు","Minister Anil rains criticism on opposition leader
State Irrigation Minister Anil Kumar Yadav said that Chandrababu did not pay attention to Polavaram after being in power for nine years",0.56
Telugu,"శనివారం జరిగిన టోర్నీ తొలి మ్యాచ్లో యు ముంబా 27-25తో తెలుగు టైటాన్స్ను ఓడించగా, బెంగళూరు బుల్స్ 35-29తో ఢిల్లీ దబాంగ్ను చిత్తుచేసింది.
అనంతరం దక్షిణాఫ్రికా తొలి ఇన్నింగ్స్లో 275 పరుగులకే ఆలౌటైంది. కాగా. . 326 పరుగుల భారత్ జట్టు తొలి ఇన్నింగ్స్ ఆధిక్యాన్ని అందుకుంది.","U Mumba defeated Telugu Titans 27-25 while Bengaluru Bulls defeated Delhi Dabang 35-29 in the first match of the tournament on Saturday.
Then South Africa were bowled out for 275 runs in the first innings. Meanwhile, the Indian team took a first innings lead of 326 runs.",0.25
Telugu,"ఇప్పటికే ధోనీ టెస్టు క్రికెట్ కు గుడ్ బై చెప్పిన విషయం తెలిసిందే.
అంతకు ముందు జరిగిన మరో రోడ్డు ప్రమాదంలో ఏడుగురు మరణించగా, 12 మంది గాయపడ్డారు.","It is already known that Dhoni has said goodbye to Test cricket.
Seven people were killed and 12 injured in another road accident earlier.",0.02
English,"I've been searching the entire abbey for you.
I'm looking for you all over the abbey.","I've been searching the entire abbey for you.
I'm looking for you all over the abbey.",1
English,"Come evening, you'll get a ration of liquor.
you'll get your spirits rations on an evening meal.","Come evening, you'll get a ration of liquor.
you'll get your spirits rations on an evening meal.",0.75
English,"I truly enjoyed Lana Harvey's first adventure.
Lana is great, and I can't wait to read more of these","I truly enjoyed Lana Harvey's first adventure.
Lana is great, and I can't wait to read more of these",0.56
English,"Cameraman scoping out camera angles.
A man walking underneath a bridge glances at the camera.","Cameraman scoping out camera angles.
A man walking underneath a bridge glances at the camera.",0.34
English,"Woman in a restaurant with a man in the background
Two men hanging out of their apartment windows.","Woman in a restaurant with a man in the background
Two men hanging out of their apartment windows.",0.12
Spanish,"Una mujer a punto de comer pescado.
Una mujer a punto de comer trucha.","A woman about to eat fish.
A woman about to eat trout.",1
Spanish,"Un perro corre por una colina cubierta de hierba
Un perro corre cuesta arriba rápidamente","A dog runs in a grassy hill
A dog runs uphill quickly",0.76
Spanish,"La niña anima al hombre del uniforme azul y blanco.
Un hombre árabe lleva un sombrero blanco","The girl cheers the man in the blue and white uniform.
An Arab man wears a white hat",0.5
Spanish,"Costo monetario para mantener el microondas por $6.
Todaví­a nos quedan más de 200.000 $ por recaudar de suscriptores y donantes como usted.","Monetary cost to maintain the microwave is $6.
We still have over $200,000 left to raise from subscribers and donors like you.",0.27
Spanish,"En la mitología griega, Dánao (en griego """" Δαναός """") era el hermano gemelo de Egipto.
Se licenció en matemáticas en la Universidad de Fráncfort del Meno.","In Greek mythology, Danaus (Greek """" Δαναός """") was the twin brother of Egypt.
He graduated in mathematics from the University of Frankfurt.",0.07
Kinyarwanda,"Chandra wirinze kugira byinshi atangariza itangazamakuru, we yashimye Polisi y’u Rwanda bitewe n’uburyo yahise imusubiza amafaranga ye mu gihe gito.
Chandra Kumar uyobora Waheguru Travels Ltd ashyikirizwa amafaranga yari yibwe Chandra Kumar yashimye Polisi y’u Rwanda uburyo yahise imusubiza amafaranga ye mu gihe gito.","Chandra refrained from disclosing too much information to the media, he praised the Rwandan Police for returning his money in a short period of time.
Chandra Kumar, the manager of Waheguru Travels Ltd, was presented with the stolen money. Chandra Kumar praised the Rwanda Police for returning his money in a short period of time.",0.97
Kinyarwanda,"Duhugukire kwandika neza Ikinyarwanda Mu myandikire y’Ikinyarwanda hari amakosa akunda gukorwa ashingiye ku ifatana n’itandukana ry’amagambo.
Duhugukire kwandika neza Ikinyarwanda (igice cya gatatu) Mu myandikire y’Ikinyarwanda, hari amagambo afatana n’andi atandukana.","Let's learn to write well in Ikinyarwanda In writing Ikinyarwanda there are mistakes that are often made based on the connection and separation of words.
Let's practice writing well in Ikinyarwanda (part three) In Ikinyarwanda writing, there are words that go together and others that are different.",0.75
Kinyarwanda,"Iki kigo nderabuzima gishya kandi gifite ibibazo by’abakozi kuko ku bakozi 15 bagomba kuba bahari bafite icyenda gusa.
Ibyo nabyo ngo bikagira ku itangwa rya serivise, kuko Iki kigo nderabuzima gifite abaforomo umunani mu bakozi 30 gifite.","Iki kigo nderabuzima gishya kandi gifite ibibazo by’abakozi kuko ku bakozi 15 bagomba kuba bahari bafite icyenda gusa.
Ibyo nabyo ngo bikagira ku itangwa rya serivise, kuko Iki kigo nderabuzima gifite abaforomo umunani mu bakozi 30 gifite.",0.5
Kinyarwanda,"U Rwanda na Uganda nibyo byafashe iya mbere bica iyo myenda, hakurikiraho Kenya na Tanzania n’u Burundi butarabyumva neza.
Kenya yahise ibona tike y'igikombe cy'Isi ihita inafata umwanya wa kabiri nyuma ya Misiri yabaye iya mbere naho u rwanda ruba urwa gatatu.","Rwanda and Uganda were the first to ban those garment, followed by Kenya, Tanzania and Burundi who have not understood it well.
Kenya immediately got the ticket to the World Cup and immediately took the second place after Egypt became the first and Rwanda became the third.""",0.28
Kinyarwanda,"East Africa’s Got Talent ku nshuro yayo ya mbere u Rwanda ni kimwe mu bihugu byemerewe kuyitabira aho rwahuriye n’ibindi birimo Uganda, Tanzania na Kenya.
Iya mbere ni umubano mwiza uri hagati ya Mali n'u Rwanda, ndetse u Rwanda ni kimwe mu bihugu bifite abapolisi bagiye kugarura amahoro muri Mali.","East Africa's Got Talent for the first time, Rwanda is one of the countries allowed to participate where it joined Uganda, Tanzania and Kenya.
The first is the good relationship between Mali and Rwanda, Even more Rwanda is one of the countries that have police officers who are going to restore peace in Mali.",0.09
Amharic,"ግንግን ይህ ሁሉ በዚህ ዘመን ሊሆን ግድኮነዉ ፡፡ 
ግን ግን ይህ ሁሉ በዚህ ዘመን ሊሆን ግድኮነዉ ፡፡","But, but, this all must happen in this time.
But, but, this all must happen in this time.",0.94
Amharic,"ሙስሊሞች በሐረር እነደ መንግሥታቱ የቅርስ ጥበቃ ድርጅት ሐረር የሙስሊሞች አራተኛዋ ቅዱስ ከተማ ናት ። 
ከአባቱና ከእናቱ ጋር እንደተገናኘም ከማሩ ሰጣቸው ፤ እነሱም በሉ ።","
Muslims in Harar city, as per UNESCO, Harar is the fourth holiest city of Islam.
As he met with his mother and father, he gave them from the honey and they are it.",0.08
Amharic,"«ይህ ማለት መጭዉ ህይወት ለኛ የተሻለ ነዉ ማለት ነው ። 
ይህ ምን ማለት ነው ።","This means, the hearafter life is better for us.
What does this mean",0.42
Amharic,"ምርጫችን ምን መሆን አለበት ? ›› ብለን ከገመትን ፣ 
ምርጫችን ‹‹ምን መሆን አለበት ?","What should be our choice? if we guess

our choice, what should be?",0.66
Amharic,"የውይይቱን የመጀመሪያ ክፍል ተከታተሉት ። 
የውይይቱን የመጀመሪያ ክፍል ከዚህ ያዳምጡ ።","
Follow the first part of the discussion.
Listen to the first part of the conversation.",0.89
Modern Standard Arabic,"- الأنهار الجليدية والجليد البحري التي كانت معنا منذ آلاف السنين تختفي الآن في غضون عقود.
 - الأنهار الجليدية والجليد البحري التي كانت معنا منذ لآلاف السنين تختفي الآن.","- Glaciers and sea ice that have been with us for thousands of years are now disappearing within decades.
- The glaciers and sea ice that have been with us for thousands of years are now disappearing.",1
Modern Standard Arabic,"- في الواقع، هذه المادة التي ترون واضحة وشفافة.
 - مركبات هذه المادة هي فقط الماء والبروتين","- In fact, the material you see is clear and transparent.
- The compounds of this material are only water and protein",0.78
Modern Standard Arabic,"- أريد متطوعاً آخر.
 - ما اسمك سيدي ؟","- I want another volunteer.
- What is your name, sir?",0.65
Modern Standard Arabic,"- الآن انتقل بكم إلى لمحة عن تاريخ الاقتصاد و في نظري قد تكون مفيدة.
 - حوالي عام ١٨٥٠ كان صيد الحيتان من أكبر الصناعات في الولايات المتحدة","- Now, I will take you to a glimpse of the history of economics, which in my opinion may be useful.
- Around 1850, whaling was one of the largest industries in the United States",0.62
Modern Standard Arabic,"- عليك الفصل بين الحقائق والنزعات، صحيح
 - حتى كتبي للأطفال فيها حيوانات غامضة ولطيفة","- You have to separate facts from trends, right
- Even my children's books contain cute and mysterious animals.",0.17
Algerian Arabic ,"- كل مرة هكدا
 - كل نهار هكدا","- Everytime, it's like that
- Everyday, it's like that",0.91
Algerian Arabic ,"- المهم تقدر ادير الدوكتوراه امبعد
 - الماستار أو غير خطوة برك","- Most importantly you can do a PhD after that
- The Master [degree] is only one step ahead",0.88
Algerian Arabic ,"- أيا تهلاي نرجس
 - بقاي علا خير","- Take care Nardjes
-  Bye [Gloss: stay well]",0.72
Algerian Arabic ,"- مبروك عليهم و لعقوبة البنات نشا الله
 - لا ﺗﭭﻮلولي لا فساد لا والو","- Congratulations, the [other] girls will be next God willing
- Do not tell me corruption or anything",0.28
Algerian Arabic ,"- سيبون هداك ما شفت
 - حقا اليوم الأولاد أونتريناو","- That's it that's all I saw
- By the way the boys worked out today",0.19
Moroccan Arabic ,"ها شحال اطلع ليهوم الجُوكْ هاد السيمانة فالتعيينات ديال المناصب العليا
ها شكون اطلع ليهوم الجُوكْ هاد الأسبوع فالتعيينات ديال المناصب العليا والجنس اللطيف ديما مقصي","This is how many votes are being appointed to senior positions this week.
This is how many votes are being appointed to senior positions this week, and women are underrepresented as always",0.9
Moroccan Arabic ,"إيقاف 36 حراكَ من دول جنوب الصحرا حدا الطرفاية
إيقاف 57 حراكَ من دول جنوب الصحرا حدا ميناء بوجدور","Stopping 36 movements from sub-Saharan countries near Tarfaya
Stopping 57 movements from sub-Saharan countries bordering the port of Boujdour",0.78
Moroccan Arabic ,"عجز الميزانية وصل لأكثر من 21 مليار درهم والصادرات تزادت بـ7 فالمية
عجز الميزانية وصل لـ41,3 مليار درهم وقانون مالية 2020 سجّل فائض فالموارد بـ11,8 مليار درهم","The budget deficit reached more than 21 billion dirhams, and exports increased by 7 percent
The budget deficit reached 41.3 billion dirhams, and the 2020 Finance Law recorded a surplus in resources of 11.8 billion dirhams",0.5
Moroccan Arabic ,"فالوقت اللي كانو ف ماتش ضد نانط.. الشفارة كشطو ديور اللعابة ديال باريس سان جيرمان دي ماريا و ماركينيوس وها التفاصيل
جماهير باريس سان جيرمان هاجمات دي ماريا ودافعات على حكيمي","At the time they were in the match against Nantes. the thieves scraped the houses of Paris Saint-Germain players, Di Maria and Marquinhos, and here are the details.
Paris Saint-Germain fans attack Di Maria and defend Hakimi.",0.33
Moroccan Arabic ,"البي جي دي باغي يدير ميسا فالانتخابات وطالب لفتيت بتوسيع نمط الاقتراع باللائحة وفق أكبر بقية واعتماد عتبة 6 % في الاتتخابات
البي جي دي باغي يدير معارضة وصافي بسباب سحب قانون التغطية الصحية للوالدين.. ومصادر لـ”كود”: كاين تعميم التغطية الصحية لجميع المغاربة وها علاش تسحب","The PGD wants to run Mesa in the elections, and they called on Laftit to expand the voting pattern in the list according to the largest remainder and adopt a threshold of 6% in the elections.
The PGD runs the opposition and due to the reasons for withdrawing the health coverage law for parents.. and sources for “Goud”: There was a generalization of health coverage for all Moroccans, and here is why it is withdrawing.",0.09
Hausa,"Haka ya furta a cikin jawabin sa na murnar cikar Najeriya shekaru 61 da samun ‘yanci. 
Ya yi wannan iƙirarin e a cikin jawabin sa na murnar cikar Najeriya 61 da samun ‘yanci a ranar Juma’a.       ","That is what he said in the speech for celebrating Nigeria's 61 independence day celebration
He made this assertion in his speech celebrating Nigeria's 61 independence day celebration on Friday",0.94
Hausa,"“Ba a taɓa yin tantagaryar mai fashin ƙuri’u da maguɗin zaɓe kamar Obasanjo ba. 
Domin a Tarihi ba a taɓa yin Shugaban Majalisar da ya tsone wa Shugaban Ƙasa ido kamar sa ba.	","""There has never been unrepentant election theif and master of election rigging like Obasanjo.
Because in History there has never been heard of the national assembly that was intimidating to the president like him.",0.21
Hausa,"Za a ci gaba da shari’a ranar 18 ga watan Fabrairu. 
Akintayo ya ce za a ci gaba da shari’a ranar 1 ga Maris.        ","The court proceeding will continue on 18 February
Akintayo said the court proceeding will continue on 1 March",0.5
Hausa,"“Rahoton ya nuna cewa wasu mutane da dama sun ji rauni kuma Kona gidaje da dama a dalilin harin. 
Mutanen sun ce a dalilin harin mutane da dama sun ji rauni a jikkunan su.        ","""The report shows that many people sustained injuries and many houses were burnt during the attack
People said as a result of the attack many people sustained injuries on their bodies",0.67
Hausa,"A karshe dai shine ya zo ma uku a zaɓen inda Amaechi ya zo na biyu Ahmed Lawan ya zo na hudu. 
Yin garkuwa da Uboh shine karo na biyu da mahara ke yi a jihar a cikin makonni uku da suka wuce.        ","At the end he came third in the election where Amaechi came second and Ahmed Lawan came fourth.
Kidnapping Uboh for ransom is the second of such incidence in the state over the last three weeks.",0.12
